idx,stamp_ns,status,status_api,iters,out_steer_fp,out_accel_fp,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp
22796,1779178008001492289,0,0,3,24861,-1851569,2303,38713,1146378,22274,-385392,14643,-1851569
22797,1779178008006499991,0,0,39,15930,-1851569,2629,39385,1131008,39703,-398942,14643,-1851569
22798,1779178008011454349,0,0,5,6543,-1851569,3329,38706,1123591,48187,-402669,8332,-1851569
22799,1779178008016690598,0,0,1,7243,-1851569,2369,37867,1123591,48187,-402669,7947,-1851569
22800,1779178008021479738,0,0,8,22433,-1851569,3064,37229,1109170,64047,-405991,16583,-1851569
22801,1779178008026458384,0,0,6,22755,-1851569,3824,36541,1102761,71966,-399123,20106,-1851569
22802,1779178008031471942,0,0,5,22908,-1851569,4618,35859,1096649,79587,-390833,21920,-1851569
22803,1779178008036484028,0,0,28,23816,-1851569,5419,35209,1090240,85991,-389064,11212,-1851569
22804,1779178008041485395,0,0,2,29957,-1851569,6587,33336,1090240,85991,-389064,24387,-1851569
22805,1779178008046475049,0,0,11,5747,-1851569,7094,31899,1077719,97774,-373248,1982,-1851569
22806,1779178008051486271,0,0,3,11515,-1851569,7926,31405,1071310,102883,-359176,9639,-1851569
22807,1779178008056486933,0,0,19,19529,-1851569,8762,31036,1065198,107790,-339639,14772,-1851569
22808,1779178008061474219,0,0,7,12019,-1851569,9607,30782,1059501,112405,-317390,20129,-1851569
22809,1779178008066679908,0,0,7,17146,-1851569,9563,29561,1059501,112405,-317390,12202,-1851569
22810,1779178008071478904,0,0,9,21737,-1851569,10334,29617,1053270,115958,-300495,18863,-1851569
22811,1779178008076480974,0,0,8,28001,-1851569,11159,29800,1040986,122249,-245926,25162,-1851569
