monotonic_time_ns,ros_time_sec,ros_time_nsec,cpu_short_window_percent,gpu_percent
1976393859673,1779177999,928741653,41.738,0.000
1976413913907,1779177999,948796719,38.952,39.000
1976433860972,1779177999,968743944,39.307,39.000
1976453864294,1779177999,988747330,34.307,13.000
1976473841887,1779178000,8724187,35.108,13.000
1976493867897,1779178000,28750901,34.199,25.000
1976513856658,1779178000,48736558,35.714,25.000
1976533868204,1779178000,68751112,41.000,38.000
1976553855685,1779178000,88737473,41.818,38.000
1976573865471,1779178000,108748507,45.286,0.000
1976593862648,1779178000,128751636,42.576,0.000
1976614017171,1779178000,148900176,41.833,0.000
1976633840331,1779178000,168722119,39.167,0.000
1976653869765,1779178000,188752897,40.452,38.000
1976673864766,1779178000,208746618,41.167,38.000
1976693864248,1779178000,228747060,40.333,38.000
1976713835409,1779178000,248714925,40.606,38.000
1976733834026,1779178000,268716999,38.485,0.000
1976753855012,1779178000,288737312,37.381,0.000
1976773872542,1779178000,308755706,37.619,25.000
1976793861527,1779178000,328743955,38.000,25.000
1976813867537,1779178000,348750125,38.788,38.000
1976833856906,1779178000,368738886,38.409,38.000
1976853861764,1779178000,388744192,40.682,25.000
1976873847741,1779178000,408729689,39.470,25.000
1976893928631,1779178000,428811412,41.515,39.000
1976913862832,1779178000,448742892,41.119,39.000
1976933862986,1779178000,468745510,41.536,39.000
1976953859907,1779178000,488741599,40.747,39.000
1976973866109,1779178000,508748953,41.321,0.000
1976993860214,1779178000,528742674,37.571,0.000
1977013840848,1779178000,548723916,39.786,39.000
1977033859337,1779178000,568741413,38.442,39.000
1977053864899,1779178000,588747839,38.000,40.000
1977073845276,1779178000,608727672,36.212,40.000
1977093864310,1779178000,628747314,40.333,39.000
1977113860751,1779178000,648740491,40.952,39.000
1977133883113,1779178000,668766085,43.548,34.000
1977153860546,1779178000,688742718,43.485,34.000
1977173865468,1779178000,708748568,47.000,39.000
1977193861589,1779178000,728744049,44.000,39.000
1977213862863,1779178000,748745867,46.000,13.000
1977233857928,1779178000,768740292,42.121,13.000
1977253871874,1779178000,788755294,40.381,39.000
1977273867419,1779178000,808749271,39.740,39.000
1977293869109,1779178000,828751601,40.714,38.000
1977313859246,1779178000,848740906,40.000,38.000
1977333929672,1779178000,868812805,42.667,39.000
1977353857953,1779178000,888740509,43.333,39.000
1977373865595,1779178000,908748119,45.583,0.000
1977393858932,1779178000,928740848,45.985,0.000
1977414023600,1779178000,948906092,46.583,39.000
1977433859943,1779178000,968742147,43.106,39.000
1977453872257,1779178000,988755069,41.702,20.000
1977473863098,1779178001,8745622,43.063,20.000
1977493904852,1779178001,28787280,41.926,39.000
1977513843693,1779178001,48723625,39.119,39.000
1977533865798,1779178001,68748643,40.487,39.000
1977553845280,1779178001,88727260,43.409,39.000
1977573866777,1779178001,108749397,42.803,0.000
1977594005460,1779178001,128887952,41.417,0.000
1977613866732,1779178001,148749576,45.845,0.000
1977633855877,1779178001,168738017,45.574,0.000
1977653860863,1779178001,188743515,43.528,0.000
1977673860408,1779178001,208742612,42.121,0.000
1977693859378,1779178001,228741742,43.939,39.000
1977713861259,1779178001,248743399,43.290,39.000
1977733863909,1779178001,268746625,43.405,13.000
1977753864254,1779178001,288746522,45.119,13.000
1977773869367,1779178001,308752275,45.952,25.000
1977793897713,1779178001,328780365,44.762,25.000
1977813865354,1779178001,348748134,43.238,39.000
1977833860835,1779178001,368743776,44.238,39.000
1977853926174,1779178001,388808698,44.502,0.000
1977873856214,1779178001,408738578,43.593,0.000
1977893860432,1779178001,428743084,43.333,25.000
1977913859145,1779178001,448739813,47.273,25.000
1977933868195,1779178001,468751359,45.498,39.000
1977953863932,1779178001,488746168,46.147,39.000
1977973866933,1779178001,508749553,46.048,40.000
1977993862159,1779178001,528744811,47.048,40.000
1978014242732,1779178001,549125704,45.758,0.000
1978033852385,1779178001,568734430,47.833,0.000
1978053862907,1779178001,588745431,49.119,25.000
1978073867284,1779178001,608749425,47.571,25.000
1978093864046,1779178001,628746346,47.792,38.000
1978113858791,1779178001,648738755,49.286,38.000
1978133862849,1779178001,668745693,48.745,32.000
1978153857498,1779178001,688740150,45.119,32.000
1978173860915,1779178001,708743727,44.654,38.000
