wall_time_ns,scan_stamp_ns,scan_stamp_to_scan_ms,amcl_particle_count,scan_to_amcl_ms,amcl_to_ekf_ms,scan_to_ekf_ms,ekf_to_drive_ms,drive_to_ackermann_ms,scan_to_ackermann_ms
1779177900983025602,1779177900974777539,0.221,2000,3.022,3.593,6.615,1.144,0.262,8.020
1779177901032955869,1779177901024755711,0.224,2000,3.118,3.871,6.989,0.693,0.287,7.969
1779177901083278685,1779177901074706107,0.705,2000,2.053,4.259,6.312,1.379,0.170,7.861
1779177901133497020,1779177901124744472,0.231,2000,2.728,3.866,6.595,1.051,0.868,8.514
1779177901182965235,1779177901174739156,0.698,2000,1.957,4.424,6.382,0.851,0.289,7.521
1779177901203166586,1779177901194867931,0.712,2000,2.585,3.761,6.346,1.068,0.165,7.580
1779177901233540310,1779177901224842962,0.343,2000,2.601,4.201,6.802,1.375,0.171,8.348
1779177901253676220,1779177901244832567,0.713,2000,1.882,4.761,6.642,1.308,0.174,8.124
1779177901284021944,1779177901274841006,0.322,2000,2.300,4.017,6.317,1.637,0.897,8.851
1779177901300130800,1779177901294835251,0.846,2000,2.292,0.046,2.339,1.080,1.022,4.442
1779177901333130122,1779177901324847307,0.325,2000,2.550,4.053,6.602,1.044,0.305,7.952
1779177901353216368,1779177901344830768,0.289,2000,2.668,4.099,6.767,1.113,0.211,8.091
1779177901378610962,1779177901372941426,0.460,2000,2.745,1.163,3.908,1.088,0.207,5.203
1779177901403622065,1779177901394739083,0.244,2000,2.297,4.312,6.609,1.177,0.846,8.632
1779177901429615322,1779177901424845508,0.952,2000,2.145,0.417,2.561,0.987,0.263,3.812
1779177901453247369,1779177901444738247,0.720,2000,2.129,4.296,6.425,1.338,0.022,7.784
1779177901482595961,1779177901474736415,0.314,2000,2.448,4.109,6.557,0.813,0.168,7.539
1779177901503190277,1779177901494722916,0.298,2000,3.175,3.660,6.835,1.308,0.022,8.164
1779177901534190279,1779177901524722619,0.205,2000,2.423,4.600,7.022,1.373,0.860,9.255
1779177901552942654,1779177901544734112,0.209,2000,2.381,4.276,6.657,1.026,0.310,7.993
1779177901583178328,1779177901574729048,0.225,2000,2.640,4.418,7.057,1.001,0.160,8.218
1779177901603399744,1779177901594722812,0.245,2000,2.510,4.206,6.715,1.350,0.360,8.425
1779177901633467896,1779177901624728724,0.218,2000,3.155,3.226,6.381,1.208,0.925,8.514
1779177901653218618,1779177901644715993,0.240,2000,2.497,4.344,6.842,1.232,0.183,8.257
1779177901683089744,1779177901674745713,0.240,2000,2.521,4.408,6.928,0.847,0.322,8.097
1779177901702961300,1779177901694720853,0.239,2000,2.283,4.587,6.870,0.837,0.288,7.995
1779177901732841642,1779177901724710669,0.197,2000,2.659,4.096,6.754,0.934,0.239,7.927
1779177901753028017,1779177901744791794,0.276,2000,2.408,4.151,6.559,1.119,0.275,7.953
1779177901783582767,1779177901774945516,0.312,2000,2.583,4.165,6.748,1.230,0.340,8.318
1779177901803566643,1779177901794832975,0.394,2000,2.456,4.088,6.543,0.871,0.919,8.333
1779177901833157734,1779177901824822727,0.309,2000,2.400,4.208,6.608,1.279,0.132,8.019
1779177901854033941,1779177901844823852,0.310,2000,4.810,2.759,7.569,1.307,0.019,8.896
1779177901883154338,1779177901874823907,0.352,2000,2.388,4.285,6.672,1.161,0.138,7.972
1779177901902944421,1779177901894825992,0.375,2000,2.329,4.018,6.346,0.996,0.395,7.737
1779177901930359391,1779177901924692638,0.230,2000,2.485,1.405,3.890,1.364,0.169,5.423
1779177901953159108,1779177901944729443,0.236,2000,2.371,4.428,6.799,1.161,0.227,8.187
1779177901982824759,1779177901974717051,0.252,2000,2.367,4.167,6.534,1.074,0.241,7.849
1779177902002698299,1779177901994738016,0.706,2000,2.056,4.063,6.119,0.968,0.161,7.249
1779177902033600604,1779177902024723479,0.308,2000,2.258,4.431,6.689,1.694,0.179,8.562
1779177902050066265,1779177902044820189,0.328,2000,2.522,0.854,3.375,1.315,0.221,4.912
1779177902082651342,1779177902074822900,0.371,2000,2.478,3.734,6.212,1.078,0.162,7.451
1779177902103468764,1779177902094721496,0.362,2000,3.169,4.066,7.235,0.953,0.190,8.379
1779177902132807340,1779177902124727599,0.215,2000,2.402,4.263,6.665,0.973,0.219,7.858
1779177902162829411,1779177902154720806,0.279,2000,2.364,4.211,6.575,1.041,0.206,7.823
1779177902183302541,1779177902174817612,0.360,2000,2.466,4.284,6.750,0.980,0.387,8.118
1779177902208495661,1779177902204744355,0.362,2000,2.193,0.088,2.281,0.843,0.258,3.382
1779177902233105127,1779177902224821800,0.375,2000,2.443,4.077,6.520,1.210,0.171,7.901
1779177902263251104,1779177902254728542,0.478,2000,2.595,4.013,6.608,1.275,0.157,8.040
1779177902278803314,1779177902274716899,0.311,2000,2.295,0.047,2.342,1.307,0.120,3.769
1779177902312701334,1779177902304731995,0.577,2000,2.464,3.975,6.438,0.758,0.189,7.385
1779177902333282753,1779177902324725983,0.382,2000,2.324,4.105,6.430,1.384,0.353,8.167
1779177902353753867,1779177902344702692,0.652,2000,2.096,4.860,6.956,1.202,0.233,8.392
1779177902378074978,1779177902372273631,2.891,2000,0.132,1.380,1.511,1.234,0.158,2.904
1779177902403967914,1779177902394760449,0.470,2000,2.332,4.493,6.825,1.734,0.171,8.731
1779177902434204868,1779177902424758232,0.330,2000,3.022,4.577,7.598,1.291,0.221,9.110
1779177902453372447,1779177902444705628,0.282,2000,2.807,4.009,6.816,1.388,0.174,8.378
1779177902482099432,1779177902474714867,0.258,2000,7.011,0.050,7.061,0.047,0.014,7.122
1779177902499063306,1779177902494685592,0.622,2000,2.009,0.334,2.343,1.122,0.285,3.750
1779177902533179440,1779177902524689071,0.723,2000,2.158,4.196,6.353,1.190,0.218,7.761
