monotonic_time_ns,ros_time_sec,ros_time_nsec,gpu_percent
1910393861744,1779177933,928744492,25.000
1910413863601,1779177933,948746189,38.000
1910433860433,1779177933,968741998,38.000
1910453861106,1779177933,988742894,0.000
1910473860883,1779177934,8742543,0.000
1910493866356,1779177934,28748464,0.000
1910513861556,1779177934,48741424,0.000
1910533859349,1779177934,68741841,40.000
1910553857782,1779177934,88740210,40.000
1910573859510,1779177934,108742386,39.000
1910593911319,1779177934,128793139,39.000
1910613861335,1779177934,148744116,0.000
1910633861528,1779177934,168743636,0.000
1910653861785,1779177934,188744437,0.000
1910673861081,1779177934,208743861,0.000
1910693864474,1779177934,228747062,39.000
1910713891483,1779177934,248771063,39.000
1910733866171,1779177934,268748727,6.000
1910753860252,1779177934,288742072,6.000
1910773864957,1779177934,308747481,38.000
1910793859901,1779177934,328741273,38.000
1910813863582,1779177934,348746106,4.000
1910833850974,1779177934,368732474,4.000
1910853810783,1779177934,388692859,0.000
1910873857536,1779177934,408739612,0.000
1910893942113,1779177934,428824477,38.000
1910913861569,1779177934,448741341,38.000
1910933863234,1779177934,468745950,39.000
1910953858146,1779177934,488739838,39.000
1910973863875,1779177934,508746655,0.000
1910993852163,1779177934,528733920,0.000
1911013859844,1779177934,548742208,0.000
1911033810468,1779177934,568692256,0.000
1911053811045,1779177934,588692897,38.000
1911073862022,1779177934,608743874,38.000
1911093857351,1779177934,628739555,0.000
1911113859399,1779177934,648738947,0.000
1911133862696,1779177934,668745476,39.000
1911153865289,1779177934,688747205,39.000
1911173816233,1779177934,708699013,38.000
1911193808105,1779177934,728690085,38.000
1911213858699,1779177934,748741031,0.000
1911233821611,1779177934,768703911,0.000
