monotonic_time_ns,ros_time_sec,ros_time_nsec,cpu_core_0_percent,cpu_core_1_percent,cpu_core_2_percent,cpu_core_3_percent,cpu_core_4_percent,cpu_core_5_percent
1437943233264,1779177461,478115308,50.000,0.000,0.000,50.000,0.000,66.667
1437963230457,1779177461,498112693,50.000,0.000,50.000,0.000,0.000,66.667
1437983233313,1779177461,518115454,50.000,0.000,100.000,50.000,0.000,0.000
1438003227978,1779177461,538110342,0.000,0.000,100.000,0.000,0.000,0.000
1438023233011,1779177461,558115503,0.000,0.000,100.000,0.000,0.000,0.000
1438043230044,1779177461,578111960,0.000,50.000,100.000,0.000,0.000,100.000
1438063230629,1779177461,598112321,100.000,100.000,0.000,0.000,50.000,0.000
1438083235086,1779177461,618117258,100.000,0.000,50.000,0.000,0.000,50.000
1438103237687,1779177461,638119955,100.000,0.000,50.000,0.000,0.000,0.000
1438123231744,1779177461,658113820,100.000,0.000,100.000,50.000,0.000,50.000
1438143231497,1779177461,678113573,0.000,0.000,100.000,50.000,0.000,0.000
1438163230450,1779177461,698112558,0.000,0.000,0.000,50.000,0.000,100.000
1438183234203,1779177461,718116247,50.000,50.000,100.000,0.000,0.000,0.000
1438203234212,1779177461,738116384,0.000,0.000,50.000,0.000,50.000,0.000
1438223231692,1779177461,758113481,50.000,50.000,50.000,0.000,50.000,50.000
1438243233013,1779177461,778115090,0.000,0.000,50.000,50.000,100.000,50.000
1438263230462,1779177461,798112890,0.000,50.000,50.000,50.000,50.000,0.000
1438283228903,1779177461,818111395,100.000,0.000,50.000,50.000,0.000,0.000
1438303231120,1779177461,838112652,0.000,0.000,100.000,0.000,0.000,0.000
1438323232025,1779177461,858113685,100.000,100.000,100.000,0.000,100.000,0.000
1438343234754,1779177461,878116766,0.000,50.000,100.000,0.000,0.000,0.000
1438363237099,1779177461,898119143,50.000,0.000,100.000,100.000,0.000,100.000
1438383232116,1779177461,918114352,50.000,50.000,50.000,100.000,50.000,0.000
