# x_m, y_m, w_tr_right_m, w_tr_left_m
-6.493568, -1.300583, 1.5390, 1.4965
-6.572438, -1.313602, 1.5444, 1.4956
-6.651328, -1.326501, 1.5503, 1.4933
-6.730245, -1.339234, 1.5561, 1.4907
-6.809197, -1.351747, 1.5609, 1.4892
-6.888193, -1.363978, 1.5634, 1.4898
-6.967244, -1.375852, 1.5637, 1.4925
-7.046359, -1.387285, 1.5614, 1.4974
-7.125551, -1.398177, 1.5571, 1.5039
-7.204830, -1.408419, 1.5516, 1.5113
-7.284205, -1.417883, 1.5453, 1.5191
-7.363683, -1.426431, 1.5388, 1.5269
-7.443270, -1.433906, 1.5325, 1.5348
-7.522964, -1.440136, 1.5267, 1.5433
-7.602757, -1.444936, 1.5213, 1.5529
-7.682630, -1.448103, 1.5166, 1.5643
-7.762556, -1.449416, 1.5125, 1.5773
-7.842488, -1.448643, 1.5089, 1.5905
-7.922363, -1.445535, 1.5057, 1.6029
-8.002095, -1.439832, 1.5035, 1.6157
-8.081569, -1.431268, 1.5011, 1.6324
-8.160643, -1.419571, 1.4998, 1.6575
-8.239138, -1.404476, 1.4983, 1.6969
-8.316842, -1.385730, 1.4971, 1.7532
-8.393506, -1.363108, 1.4966, 1.8191
-8.468851, -1.336422, 1.4973, 1.8902
-8.542575, -1.305541, 1.4994, 1.9779
-8.614365, -1.270397, 1.5032, 2.0977
-8.683912, -1.231002, 1.5086, 2.2246
-8.750930, -1.187442, 1.5158, 2.3017
-8.815172, -1.139884, 1.5249, 2.3399
-8.876446, -1.088558, 1.5339, 2.2842
-8.934620, -1.033743, 1.5417, 2.1445
-8.989629, -0.975751, 1.5471, 2.0163
-9.041463, -0.914904, 1.5477, 1.9144
-9.090166, -0.851522, 1.5412, 1.8459
-9.135818, -0.785908, 1.5272, 1.7974
-9.178524, -0.718339, 1.5032, 1.7420
-9.218405, -0.649064, 1.4728, 1.5571
-9.255580, -0.578300, 1.4383, 1.4681
-9.290165, -0.506234, 1.4048, 1.5094
-9.322261, -0.433025, 1.3778, 1.5955
-9.351951, -0.358808, 1.3581, 1.6648
-9.379294, -0.283694, 1.3457, 1.6794
-9.404324, -0.207779, 1.3407, 1.6610
-9.427049, -0.131141, 1.3432, 1.6306
-9.447446, -0.053852, 1.3551, 1.5974
-9.465465, 0.024026, 1.3821, 1.5624
-9.481024, 0.102433, 1.4430, 1.5214
-9.494012, 0.181306, 1.9685, 1.4806
-9.504284, 0.260578, 2.0717, 1.4751
-9.511666, 0.340171, 2.0868, 1.4937
-9.515949, 0.419991, 2.0645, 1.5154
-9.516892, 0.499919, 2.0215, 1.5432
-9.514219, 0.579807, 1.9654, 1.5869
-9.507619, 0.659466, 1.8999, 1.6512
-9.496749, 0.738655, 1.8274, 1.7338
-9.481234, 0.817064, 1.7488, 1.8295
-9.460679, 0.894304, 1.6680, 1.9328
-9.434685, 0.969886, 1.5923, 2.0412
-9.402877, 1.043207, 1.5311, 2.1431
-9.364946, 1.113554, 1.4931, 2.1765
-9.320709, 1.180114, 1.4863, 2.0935
-9.270176, 1.242026, 1.5366, 2.0403
-9.213598, 1.298466, 1.6300, 2.0234
-9.151491, 1.348758, 3.2459, 2.0429
-9.084591, 1.392475, 4.8903, 2.0973
-9.013767, 1.429503, 4.7795, 2.1588
-8.939906, 1.460035, 4.7109, 2.1663
-8.863821, 1.484513, 4.6654, 2.1494
-8.786189, 1.503537, 4.6378, 2.1152
-8.707538, 1.517786, 4.6170, 1.9935
-8.628254, 1.527948, 4.6023, 1.8707
-8.548604, 1.534685, 4.5947, 1.7750
-8.468765, 1.538609, 4.5922, 1.7013
-8.388846, 1.540273, 4.5919, 1.6391
-8.308909, 1.540169, 4.5920, 1.5796
-8.228985, 1.538733, 4.5915, 1.5195
-8.149083, 1.536352, 2.8759, 1.4595
-8.069201, 1.533363, 1.1600, 1.4010
-7.989332, 1.530064, 1.1604, 1.3452
-7.909465, 1.526714, 1.1336, 1.2917
-7.829590, 1.523540, 1.1154, 1.2403
-7.749702, 1.520738, 1.0986, 1.1908
-7.669797, 1.518475, 1.0806, 1.1432
