x_ref_m; y_ref_m; width_left_m; width_right_m; psi_racetraj_rad; s_racetraj_m; kappa_racetraj_radpm; vx_racetraj_mps
0.9482; -1.5708; 0.5389; 0.9019; -3.1059; 43.9277; -0.0087; 2.5000
0.7962; -1.5758; 0.6000; 0.9061; -3.1143; 44.0799; -0.0194; 2.5000
0.6513; -1.5789; 0.6522; 0.8440; -3.1275; 44.2247; -0.0257; 2.5000
0.5099; -1.5799; 0.7136; 0.9092; -3.1229; 44.3662; 0.0425; 2.5000
0.3685; -1.5842; 0.8153; 0.8428; -3.0650; 44.5076; 0.1581; 2.5000
0.2241; -1.6018; 0.8355; 0.7900; -2.9461; 44.6531; 0.2387; 2.5000
0.0737; -1.6426; 0.9115; 0.8237; -2.7997; 44.8089; 0.2263; 2.5000
-0.0829; -1.7110; 0.9419; 0.7623; -2.6739; 44.9798; 0.1530; 2.5000
-0.2405; -1.8012; 1.0580; 0.7366; -2.5807; 45.1614; 0.1110; 2.5000
-0.3931; -1.9059; 1.1995; 0.6468; -2.5060; 45.3464; 0.0950; 2.5000
-0.5353; -2.0188; 1.3764; 0.6137; -2.4320; 45.5280; 0.1096; 2.5000
-0.6652; -2.1396; 1.4109; 0.5939; -2.3461; 45.7054; 0.1318; 2.5000
-0.7819; -2.2703; 1.5155; 0.4982; -2.2472; 45.8806; 0.1492; 2.5000
-0.8845; -2.4128; 1.6193; 0.4104; -2.1387; 46.0562; 0.1595; 2.5000
-0.9712; -2.5670; 1.7173; 0.3792; -2.0226; 46.2331; 0.1704; 2.5000
-1.0389; -2.7309; 1.7364; 0.2663; -1.8968; 46.4104; 0.1860; 2.5000
-1.0845; -2.9024; 1.7323; 0.2893; -1.7614; 46.5879; 0.1963; 2.5000
-1.1061; -3.0791; 1.6621; 0.2666; -1.6254; 46.7659; 0.1864; 2.5000
-1.1040; -3.2583; 1.7077; 0.2890; -1.4962; 46.9451; 0.1754; 2.5000
-1.0793; -3.4370; 1.7068; 0.3330; -1.3734; 47.1255; 0.1665; 2.5000
-1.0332; -3.6121; 1.8007; 0.4186; -1.2599; 47.3066; 0.1491; 2.5000
-0.9689; -3.7806; 1.7670; 0.4427; -1.1590; 47.4869; 0.1332; 2.5000
-0.8904; -3.9390; 1.7001; 0.5007; -1.0679; 47.6637; 0.1269; 2.5000
-0.8019; -4.0841; 1.6588; 0.5830; -0.9745; 47.8337; 0.1480; 2.5000
-0.7029; -4.2154; 1.5813; 0.6316; -0.8632; 47.9982; 0.1832; 2.5000
-0.5867; -4.3358; 1.4099; 0.6576; -0.7377; 48.1654; 0.1823; 2.5000
-0.4465; -4.4484; 1.2335; 0.7044; -0.6194; 48.3453; 0.1443; 2.5000
-0.2788; -4.5553; 1.0048; 0.7488; -0.5269; 48.5442; 0.0969; 2.5000
-0.0933; -4.6539; 0.8747; 0.7675; -0.4572; 48.7543; 0.0746; 2.5000
0.0969; -4.7402; 0.7696; 0.8370; -0.3980; 48.9631; 0.0710; 2.5000
0.2800; -4.8108; 0.6512; 0.8336; -0.3407; 49.1594; 0.0732; 2.5000
0.4595; -4.8687; 0.5636; 0.9185; -0.2897; 49.3479; 0.0567; 2.5000
0.6493; -4.9209; 0.5130; 0.9349; -0.2560; 49.5448; 0.0276; 2.5000
0.8637; -4.9745; 0.5197; 0.9242; -0.2379; 49.7658; 0.0144; 2.5000
1.1070; -5.0319; 0.4582; 0.8903; -0.2192; 50.0158; 0.0232; 2.5000
1.3663; -5.0865; 0.3980; 0.8803; -0.1883; 50.2807; 0.0366; 2.5000
1.6263; -5.1308; 0.4069; 0.9298; -0.1419; 50.5445; 0.0541; 2.5000
1.8744; -5.1591; 0.4037; 0.8814; -0.0895; 50.7942; 0.0504; 2.5000
2.1104; -5.1743; 0.4993; 0.8674; -0.0504; 51.0307; 0.0306; 2.5000
2.3383; -5.1825; 0.4897; 0.8261; -0.0337; 51.2588; 0.0049; 2.5000
2.5624; -5.1895; 0.5755; 0.8716; -0.0342; 51.4830; -0.0062; 2.5000
2.7849; -5.1978; 0.5529; 0.8071; -0.0375; 51.7057; -0.0011; 2.5000
3.0070; -5.2062; 0.5967; 0.8406; -0.0360; 51.9279; 0.0046; 2.5000
3.2296; -5.2138; 0.6628; 0.7687; -0.0307; 52.1506; 0.0072; 2.5000
3.4537; -5.2199; 0.6485; 0.7518; -0.0264; 52.3748; 0.0023; 2.5000
3.6812; -5.2257; 0.6721; 0.7278; -0.0270; 52.6024; -0.0035; 2.5000
3.9136; -5.2324; 0.6445; 0.7538; -0.0321; 52.8349; -0.0074; 2.5000
4.1519; -5.2409; 0.6586; 0.8144; -0.0369; 53.0733; -0.0028; 2.5000
4.3893; -5.2499; 0.6548; 0.7983; -0.0355; 53.3109; 0.0060; 2.5000
4.6159; -5.2573; 0.6253; 0.9223; -0.0252; 53.5376; 0.0180; 2.5000
4.8219; -5.2609; 0.5235; 0.9277; -0.0082; 53.7436; 0.0241; 2.5000
