# s_m,x_m,y_m,psi_rad,kappa_radpm,velocity_mps,acceleration_mps2,d_left_m,d_right_m
15.096924,-0.776743,0.286180,0.4714225,-0.9608098,0.0000000,0.0000000,1.566154,1.189468
15.176795,-0.704281,0.319777,0.3979631,-0.8790447,0.0000000,0.0000000,1.461062,1.192495
15.256669,-0.629643,0.348220,0.3314528,-0.7866362,0.0000000,0.0000000,1.377661,1.192159
15.336545,-0.553365,0.371920,0.2722650,-0.6955574,0.0000000,0.0000000,1.320097,1.186771
15.416422,-0.475884,0.391340,0.2199684,-0.6139994,0.0000000,0.0000000,1.260237,1.175737
15.496301,-0.397540,0.406924,0.1736487,-0.5458478,0.0000000,0.0000000,1.203108,1.159178
15.576180,-0.318589,0.419063,0.1322078,-0.4918044,0.0000000,0.0000000,1.158777,1.138217
15.656060,-0.239219,0.428080,0.0945820,-0.4503038,0.0000000,0.0000000,1.118223,1.113738
15.735941,-0.159576,0.434226,0.0598852,-0.4184542,0.0000000,0.0000000,1.083650,1.086518
15.815822,-0.079770,0.437701,0.0274734,-0.3930858,0.0000000,0.0000000,1.054216,1.056585
15.895703,0.000105,0.438665,-0.0030463,-0.3710723,0.0000000,0.0000000,1.026510,1.024006
15.975584,0.079974,0.437260,-0.0318475,-0.3500521,0.0000000,0.0000000,1.002587,0.989848
16.055465,0.159772,0.433624,-0.0589460,-0.3284376,0.0000000,0.0000000,0.981590,0.955907
16.135347,0.239448,0.427896,-0.0842677,-0.3055614,0.0000000,0.0000000,0.964711,0.924708
16.215228,0.318961,0.420227,-0.1077118,-0.2814217,0.0000000,0.0000000,0.949664,0.897877
16.295110,0.398281,0.410774,-0.1291978,-0.2565323,0.0000000,0.0000000,0.935888,0.875157
16.374992,0.477392,0.399697,-0.1486938,-0.2315941,0.0000000,0.0000000,0.925678,0.858334
16.454875,0.556284,0.387158,-0.1662255,-0.2073506,0.0000000,0.0000000,0.920898,0.850563
16.534757,0.634957,0.373313,-0.1818717,-0.1843825,0.0000000,0.0000000,0.916711,0.849982
16.614640,0.713418,0.358308,-0.1957508,-0.1631087,0.0000000,0.0000000,0.913902,0.852726
16.694522,0.791676,0.342281,-0.2080059,-0.1437201,0.0000000,0.0000000,0.914752,0.858212
16.774405,0.869745,0.325354,-0.2187887,-0.1262477,0.0000000,0.0000000,0.916362,0.866882
16.854287,0.947638,0.307639,-0.2282457,-0.1105259,0.0000000,0.0000000,0.916911,0.877137
16.934170,1.025372,0.289236,-0.2365064,-0.0962945,0.0000000,0.0000000,0.916711,0.886851
17.014053,1.102962,0.270234,-0.2436798,-0.0833044,0.0000000,0.0000000,0.919167,0.896534
17.093936,1.180423,0.250714,-0.2498540,-0.0712786,0.0000000,0.0000000,0.924951,0.906872
17.173819,1.257772,0.230754,-0.2550972,-0.0599933,0.0000000,0.0000000,0.931878,0.917165
17.253701,1.335024,0.210422,-0.2594610,-0.0492620,0.0000000,0.0000000,0.937762,0.927355
17.333584,1.412196,0.189786,-0.2629848,-0.0389610,0.0000000,0.0000000,0.942134,0.936653
17.413467,1.489302,0.168909,-0.2657005,-0.0290324,0.0000000,0.0000000,0.946816,0.943191
17.493350,1.566360,0.147854,-0.2676376,-0.0194649,0.0000000,0.0000000,0.951760,0.947539
17.573233,1.643385,0.126678,-0.2688266,-0.0103033,0.0000000,0.0000000,0.956042,0.950036
17.653116,1.720393,0.105438,-0.2693033,-0.0016330,0.0000000,0.0000000,0.960504,0.947665
17.732999,1.797397,0.084188,-0.2691113,0.0064397,0.0000000,0.0000000,0.965936,0.941217
17.812881,1.874413,0.062976,-0.2683038,0.0137786,0.0000000,0.0000000,0.972262,0.935911
17.892764,1.951451,0.041849,-0.2669441,0.0202633,0.0000000,0.0000000,0.979297,0.936578
17.972647,2.028523,0.020845,-0.2651053,0.0257739,0.0000000,0.0000000,0.985816,0.942249
18.052530,2.105638,-0.000001,-0.2628688,0.0302201,0.0000000,0.0000000,0.991023,0.946129
18.132413,2.182803,-0.020662,-0.2603214,0.0335601,0.0000000,0.0000000,0.993605,0.944593
18.212296,2.260022,-0.041118,-0.2575521,0.0357737,0.0000000,0.0000000,0.988977,0.941194
18.292179,2.337299,-0.061354,-0.2546489,0.0369121,0.0000000,0.0000000,0.976197,0.939879
18.372061,2.414636,-0.081362,-0.2516950,0.0370442,0.0000000,0.0000000,0.965574,0.940150
18.451944,2.492031,-0.101143,-0.2487662,0.0362825,0.0000000,0.0000000,0.962888,0.939616
18.531827,2.569483,-0.120700,-0.2459286,0.0347611,0.0000000,0.0000000,0.965550,0.937775
18.611710,2.646988,-0.140043,-0.2432377,0.0326117,0.0000000,0.0000000,0.969121,0.936115
18.691593,2.724544,-0.159184,-0.2407377,0.0299783,0.0000000,0.0000000,0.969741,0.935748
18.771476,2.802145,-0.178140,-0.2384627,0.0269817,0.0000000,0.0000000,0.969162,0.936065
18.851359,2.879787,-0.196929,-0.2364369,0.0237358,0.0000000,0.0000000,0.967882,0.936299
18.931241,2.957464,-0.215570,-0.2346767,0.0203352,0.0000000,0.0000000,0.964732,0.935992
19.011124,3.035172,-0.234086,-0.2331910,0.0168598,0.0000000,0.0000000,0.961794,0.936105
19.091007,3.112904,-0.252497,-0.2319833,0.0133790,0.0000000,0.0000000,0.961171,0.937053
19.170890,3.190656,-0.270825,-0.2310513,0.0099533,0.0000000,0.0000000,0.961620,0.938423
19.250773,3.268423,-0.289090,-0.2303886,0.0066403,0.0000000,0.0000000,0.961906,0.940645
19.330656,3.346199,-0.307315,-0.2299839,0.0034923,0.0000000,0.0000000,0.961368,0.942574
19.410539,3.423980,-0.325517,-0.2298218,0.0005645,0.0000000,0.0000000,0.961208,0.943451
19.490421,3.501763,-0.343716,-0.2298830,-0.0020966,0.0000000,0.0000000,0.962156,0.942638
19.570304,3.579542,-0.361927,-0.2301443,-0.0044452,0.0000000,0.0000000,0.961938,0.941082
19.650187,3.657315,-0.380166,-0.2305793,-0.0064458,0.0000000,0.0000000,0.960309,0.941857
19.730070,3.735078,-0.398444,-0.2311594,-0.0080776,0.0000000,0.0000000,0.960017,0.944453
19.809953,3.812830,-0.416772,-0.2318545,-0.0093267,0.0000000,0.0000000,0.961495,0.945756
19.889836,3.890569,-0.435158,-0.2326346,-0.0102035,0.0000000,0.0000000,0.962480,0.943914
19.969719,3.968292,-0.453606,-0.2334705,-0.0107247,0.0000000,0.0000000,0.962261,0.941376
20.049602,4.046000,-0.472121,-0.2343352,-0.0109239,0.0000000,0.0000000,0.963112,0.941318
20.129484,4.123691,-0.490703,-0.2352046,-0.0108431,0.0000000,0.0000000,0.965599,0.943513
20.209367,4.201366,-0.509353,-0.2360581,-0.0105259,0.0000000,0.0000000,0.968636,0.945549
20.289250,4.279026,-0.528067,-0.2368788,-0.0100224,0.0000000,0.0000000,0.971783,0.944971
20.369133,4.356671,-0.546844,-0.2376536,-0.0093762,0.0000000,0.0000000,0.974890,0.942492
