idx,stamp_ns,compute_ok,status,iters,control_flags,out_steer_fp,out_accel_fp,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp,ref_vx0_fp,ref_kappa0_fp,total_call_ns,kernel_ns,wait_ns
23556,1778515611667437714,1,1,50,0,-3155,1851568,-8414,16185,146902,881,-140629,-25559,-1851569,175018,-46013,886049,767649,776869
23557,1778515611672440301,1,1,50,0,-3155,-1851569,-8536,16711,147229,867,-140715,-25559,1851568,175899,-45405,885059,767019,776589
23558,1778515611677900143,1,1,50,0,-47964,1851568,-8637,17153,147511,857,-141374,-25559,-1851569,176839,-44523,882799,766539,774889
23559,1778515611682409412,1,1,50,0,-3155,-1851569,-8464,16514,147896,860,-141628,-25559,1851568,176839,-44523,883748,767129,775549
23560,1778515611687454144,1,1,50,0,-47964,-1851569,-8575,16994,148163,869,-142443,-25559,-1851569,177844,-43740,884159,765929,775289
23561,1778515611692493629,1,1,50,0,-47964,-1851569,-8547,16899,148386,890,-143266,-25559,-1851569,177844,-43740,887139,765829,773789
23562,1778515611697507640,1,1,50,0,-47964,1851568,-8658,17350,148505,921,-143941,-25559,-1851569,178894,-43279,881228,765749,772998
23563,1778515611702851288,1,1,50,0,-3155,1851568,-8754,17733,148727,964,-144612,-25559,1851568,179973,-42643,883029,766419,773849
23564,1778515611707857204,1,1,50,0,-47964,-1851569,-8554,17008,148935,1011,-144808,-25559,1851568,179973,-42643,880949,766229,773419
23565,1778515611712466315,1,1,50,0,-47964,-1851569,-8554,17172,149157,1057,-144579,-25559,-1851569,181074,-41844,884799,766929,776739
23566,1778515611717435430,1,1,50,0,-47964,1851568,-8360,16455,149157,1057,-144579,-25559,-1851569,181074,-41844,884849,767679,775769
23567,1778515611722450466,1,1,50,0,-3155,-1851569,-8172,15732,149662,1147,-144076,-25559,1851568,181074,-41844,883939,767799,775369
23568,1778515611727606143,1,1,50,0,-3155,-1851569,-8264,16116,150166,1191,-143739,-25559,-1851569,182193,-41403,880589,765049,773349
23569,1778515611732380344,1,1,50,0,-3155,1851568,-8368,16540,150567,1229,-143065,-25559,-1851569,183324,-41116,882848,765729,773899
23570,1778515611737567446,1,1,50,0,-3155,-1851569,-8170,15800,151041,1265,-142666,-25559,1851568,183324,-41116,885429,767659,775529
23571,1778515611742470256,1,1,50,0,-3155,-1851569,-8204,16983,151427,1295,-142158,-25559,-1851569,184464,-40643,883609,765979,774859
23572,1778515611747458700,1,1,50,0,-3155,-1851569,-8007,16275,151872,1322,-141964,-25559,-1851569,184464,-40643,883139,764979,775249
23573,1778515611752459783,1,1,50,0,-3155,1851568,-8096,16652,152302,1350,-141996,-25559,-1851569,185578,-40102,889369,769839,780609
23574,1778515611757457443,1,1,50,0,-3155,1851568,-8183,17016,152733,1381,-142225,-25559,1851568,186667,-39953,894589,770799,785989
23575,1778515611762400030,1,1,50,0,-3155,-1851569,-7757,15831,153282,1419,-142710,-25559,1851568,186667,-39953,889139,770899,780309
23576,1778515611767442074,1,1,50,0,-3155,1851568,-7569,15108,153845,1467,-143538,-25559,-1851569,186667,-39953,887519,769599,779049
23577,1778515611772383797,1,1,50,0,-47964,1851568,-7655,15461,154691,1530,-144412,-25559,1851568,187733,-39714,888399,770459,780099
23578,1778515611777447985,1,1,50,0,-47964,1851568,-7736,15782,155596,1613,-145373,-25559,1851568,188774,-39457,888589,771039,780899
23579,1778515611782402028,1,1,50,0,-47964,1851568,-7547,15058,156486,1711,-146171,-25559,1851568,188774,-39457,886588,767059,775239
23580,1778515611787489129,1,1,50,0,-47964,-1560334,-7623,15364,157198,1823,-146976,-25559,1851568,189758,-39157,885109,769079,776889
23581,1778515611792452036,1,1,50,0,-47964,1851568,-7436,14632,157881,1945,-147515,-25559,-1560334,189758,-39157,887809,769819,778749
23582,1778515611797471776,1,1,50,0,-3155,1851568,-7724,16430,158385,2073,-147901,-25559,1851568,190689,-38872,922118,802789,813838
23583,1778515611802447067,1,1,50,0,-3155,1851568,-7811,16731,158949,2204,-147961,-25559,1851568,191570,-38529,987889,868139,877629
23584,1778515611807452151,1,1,50,0,-3155,-1851569,-7602,15992,159275,2333,-147778,-25559,1851568,191570,-38529,982659,864079,873939
23585,1778515611812474355,1,1,50,0,-3155,-1851569,-7299,15260,159661,2457,-147277,-25559,-1851569,192427,-37930,980039,863279,871549
23586,1778515611817420494,1,1,50,0,-3155,1851568,-7384,15551,160121,2571,-146471,-25559,-1851569,193315,-37411,935009,816499,826389
23587,1778515611822589900,1,1,50,0,-47964,-1851569,-6916,13782,160714,2679,-145713,-25559,1851568,192427,-37930,932208,815769,823818
23588,1778515611827402309,1,1,50,0,-47964,-1851569,-6998,14102,161248,2769,-144681,-25559,-1851569,193315,-37411,880929,765549,771369
23589,1778515611832398496,1,1,50,0,-47964,1851568,-6815,13382,161931,2853,-144117,-25559,-1851569,193315,-37411,882699,765989,773849
23590,1778515611837483837,1,1,50,0,-3155,1851568,-6881,13655,162791,2935,-144051,-25559,1851568,194229,-36830,883359,766719,774719
23591,1778515611842386840,1,1,50,0,-47964,-1851569,-6870,14718,163607,3017,-144322,-25559,1851568,195163,-36132,883209,766859,774729
