idx,iterations,solve_time_us
435,3,407.0
436,3,390.7
437,3,268.1
438,2,307.5
439,3,304.5
440,3,274.8
441,3,268.5
442,3,357.0
443,3,270.8
444,2,249.5
445,3,276.3
446,3,272.2
447,3,377.8
448,3,275.8
449,2,253.6
450,3,272.4
451,3,338.4
452,3,298.9
453,3,268.5
454,3,270.6
455,3,275.5
456,3,285.2
457,3,285.7
458,3,400.4
459,3,571.1
460,3,399.3
461,3,277.8
462,3,378.1
463,3,307.9
464,3,282.3
465,3,308.4
466,3,471.3
467,3,274.6
468,3,266.5
469,3,280.7
470,3,281.2
471,3,310.0
472,3,268.5
473,3,309.2
474,3,303.3
475,3,307.9
476,3,313.0
477,3,271.5
478,3,265.3
479,3,266.6
480,3,267.1
481,3,275.5
482,3,272.8
483,3,283.2
484,3,342.0
485,3,279.1
486,3,328.5
487,3,307.9
488,3,345.7
489,3,305.2
490,2,344.7
491,3,307.3
492,3,310.8
493,3,346.7
494,3,310.0
495,3,310.6
496,3,267.1
497,3,305.7
498,3,305.4
499,3,308.2
500,3,304.2
501,3,268.1
502,3,267.4
503,3,260.5
504,3,261.3
505,3,268.3
506,3,273.6
507,3,276.3
508,3,270.0
509,3,277.4
510,3,297.8
511,3,302.9
512,6,346.6
513,6,339.1
514,6,359.7
515,3,273.0
516,3,268.1
517,3,394.5
518,3,280.4
519,3,339.2
520,2,293.2
521,3,307.0
522,3,306.5
523,2,293.3
524,3,347.7
525,2,265.3
526,3,308.2
527,3,267.8
528,2,247.9
529,3,265.6
530,2,254.5
531,6,345.4
532,6,411.1
533,6,343.2
534,3,464.3
535,6,361.8
536,6,344.4
537,6,338.7
538,6,355.4
539,6,338.3
540,6,333.8
541,2,251.2
542,2,251.2
543,2,262.8
544,2,291.6
545,2,290.5
546,6,375.7
547,2,289.7
548,2,289.0
549,3,306.4
550,2,287.9
551,2,285.9
552,6,334.3
553,6,335.0
554,6,341.4
555,2,255.9
556,2,262.1
557,2,382.2
558,2,360.3
559,6,488.5
560,6,345.8
561,6,342.2
562,6,490.4
563,2,258.3
564,6,335.7
565,6,336.7
566,6,334.8
567,6,350.0
568,6,336.1
569,6,339.5
570,3,266.2
571,50,1134.9
572,6,353.8
573,50,1103.9
574,50,1102.6
575,6,383.0
576,6,380.5
577,50,1094.8
578,50,1099.1
579,6,349.8
580,50,1160.3
581,50,1095.3
582,6,404.5
583,6,405.1
584,50,1320.2
585,6,345.3
586,50,1095.8
587,50,1102.2
588,6,379.2
589,50,1218.5
590,6,379.7
591,50,1129.0
592,50,1132.7
593,50,1132.1
594,50,1136.7
595,50,1134.7
596,6,374.3
597,50,1133.0
598,50,1097.3
599,50,1133.2
600,6,384.4
601,50,1134.2
602,50,1094.9
603,10,406.3
604,50,1103.0
605,6,343.0
606,50,1107.3
607,6,340.6
608,50,1099.3
609,8,372.8
610,50,1098.1
611,50,1093.3
612,6,340.3
613,50,1119.2
614,6,349.8
615,50,1090.9
616,50,1201.8
617,6,346.3
618,50,1192.4
